PodcastName,Epizoda,EpisodeUUID,Měsíc,RedCircle_Downloads,PodcastUUID
Historie mezi řádky,Edvard Beneš – padouch nebo hrdina? I. část,8d8f31a9-7e24-4067-8a1a-046c01625b58,2025-11,85,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Hitlerova cesta k moci - i Hitlera si zvolili demokraticky,eb5ca8ec-14e6-42e0-bfc2-7024697134a8,2025-11,79,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Španělská občanská válka,cf65bf9b-7686-4849-893a-aa027cb794c2,2025-11,60,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Čeští Němci v roce 1918,6f7601fa-72ce-4e30-84d7-c7aca8b0f54d,2025-11,55,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Generál Josef Šnejdárek - velitel senegalských lidojedů,4d724f75-6b49-4706-8c32-604fc159c5b3,2025-11,51,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Edvard Beneš – padouch nebo hrdina? II. část,9b4403cb-9d3e-4464-a8bd-b42a0d694fa4,2025-11,51,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Kudy povedou hranice republiky?,0a1d104e-eeb2-4fac-84b6-d3c6eaf3bcff,2025-11,50,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Československá kolonie Togo – mýtus nebo skutečnost?,361531d8-7725-4374-9e32-8609fcf19552,2025-11,50,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Od Královce ke Kaliningradu,feca4c44-09bc-4dba-9eaf-0bad07b103dd,2025-11,40,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 4: Pověsti o Staronové škole,10757da8-7045-403d-8b24-6b81fb482289,2025-11,21,122228e9-4fc6-4674-b257-cf90262939ea
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 1: O kapli Betlémské,e3b6ad25-148c-4c30-b524-33817ff66c32,2025-11,20,122228e9-4fc6-4674-b257-cf90262939ea
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 14: Papouškové lázně,dd310399-1faa-4e7d-a321-b735e389c235,2025-11,17,122228e9-4fc6-4674-b257-cf90262939ea
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 12: Pražské písně lidu vojenského,7ef786fd-3b8e-4351-aef0-b4ab3e7387c3,2025-11,15,122228e9-4fc6-4674-b257-cf90262939ea
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 13: O domě vusínském aneb redutním,a99227ea-759e-4997-87aa-7850eb454341,2025-11,15,122228e9-4fc6-4674-b257-cf90262939ea
Mariánská listování,Mariánská listování  s Pavlem Suchanem - 8. díl,b52a7f74-48a4-4651-8f47-da4d65901628,2025-11,14,0fe8348e-fbb1-43d1-afd5-a519d36aaac9
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 8: Pražské Jezulátko,4b0d2be4-d298-4fe5-9900-e80f44d44585,2025-11,13,122228e9-4fc6-4674-b257-cf90262939ea
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 2: Slavnost v Kanálské zahradě,c04589e0-5d72-45a1-937d-be65724f8dcb,2025-11,12,122228e9-4fc6-4674-b257-cf90262939ea
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 5: Barvířský ostrov,8da482a1-6471-473a-8d9e-39a8691201de,2025-11,11,122228e9-4fc6-4674-b257-cf90262939ea
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 15: Dopis z roku 1819,9b855a54-b63e-4bb9-8c56-847462448076,2025-11,11,122228e9-4fc6-4674-b257-cf90262939ea
Nová vlna,Karel Poláček – Čtrnáct dní na vojně | Část 1.,054991e3-4785-4325-8c61-53b612553b0b,2025-11,10,122228e9-4fc6-4674-b257-cf90262939ea
